TimeSeconds,Stage,TotalVehicles,StoppedVehicles,VehiclesYielding,MeanSpeedCmPerSecond,MeanSpeedFraction,FrameTimeMs,JunctionThroughputPerMinute
0.504,Baseline,20,1,4,464.69,0.8863,8.334,0.0
1.013,Baseline,20,3,3,402.60,0.7735,12.056,117.8
1.680,Baseline,20,2,2,401.98,0.7674,333.333,89.9
2.183,Baseline,20,2,2,406.34,0.7698,8.333,0.0
2.691,Baseline,20,2,2,425.60,0.8003,9.530,0.0
3.198,Baseline,20,2,3,423.50,0.7947,8.333,0.0
3.700,Baseline,20,2,4,393.73,0.7378,8.333,0.0
4.200,Baseline,20,6,4,375.55,0.7031,8.334,0.0
4.700,Baseline,20,6,4,374.96,0.7019,8.333,0.0
5.200,Baseline,20,5,3,382.85,0.7169,8.334,120.0
5.700,Baseline,20,5,3,393.89,0.7379,8.333,0.0
6.200,Baseline,20,5,3,400.44,0.7504,8.333,0.0
6.700,Baseline,20,5,3,400.36,0.7503,8.334,0.0
7.200,Baseline,20,5,3,400.31,0.7502,8.334,0.0
7.700,Baseline,20,5,3,400.28,0.7501,8.333,0.0
8.200,Baseline,20,5,3,400.26,0.7501,8.333,0.0
8.700,Baseline,20,5,3,400.25,0.7500,8.334,0.0
9.200,Baseline,20,5,3,400.25,0.7500,8.334,0.0
9.700,Baseline,20,5,3,384.60,0.7224,8.333,0.0
10.200,Baseline,20,4,2,373.38,0.7029,8.334,120.0
10.700,Baseline,20,3,2,379.81,0.7158,8.333,0.0
11.200,Baseline,20,3,2,394.84,0.7449,8.333,0.0
11.700,Baseline,20,3,2,403.02,0.7613,8.334,0.0
12.200,Baseline,20,3,2,409.46,0.7739,8.334,0.0
12.700,Baseline,20,3,4,392.21,0.7395,8.333,0.0
13.200,Baseline,20,5,4,362.06,0.6826,8.334,0.0
13.700,Baseline,20,6,4,350.36,0.6617,8.333,0.0
14.201,Baseline,20,6,4,346.72,0.6547,8.333,0.0
14.701,Baseline,20,4,3,350.02,0.6541,8.333,120.0
15.201,Baseline,20,3,3,363.04,0.6736,8.334,0.0
15.701,Baseline,20,4,3,378.90,0.7019,8.333,0.0
16.201,Baseline,20,4,3,378.06,0.7056,8.333,0.0
16.701,Baseline,20,4,4,362.28,0.6759,8.334,0.0
17.201,Baseline,20,5,4,339.76,0.6325,8.334,0.0
17.701,Baseline,20,6,4,332.19,0.6197,8.334,0.0
18.201,Baseline,20,6,4,322.17,0.6025,8.334,0.0
